method,context_mode,total,retrieval_hit_rate,answer_match_rate,evidence_match_rate,group_match_rate,average_token_f1,status,note
bm25+lexical,evidence-context,100,0.35,0.03,0.03,0.03,0.07237032396486019,ok,
bm25+legal-bert,evidence-context,100,0.35,0.34,0.34,0.34,0.3706918119327311,ok,
bm25+lexical,gold-context,100,0.21,0.02,0.02,0.09,0.09955428139890678,ok,
bm25+legal-bert,gold-context,100,0.21,0.08,0.08,0.19,0.08436203799890812,ok,
bm25+lexical,full-document,100,0.14,0.03,0.03,0.09,0.06329295192061916,ok,
bm25+legal-bert,full-document,100,0.14,0.09,0.09,0.23,0.08496001478174804,ok,
